,Unnamed: 0,pstation,p_Abetment of suicide,p_Causing hurt-Criminal intimidation-wrong restraint,p_Causing hurt-mischief-wrong restraint,p_Causing hurt-wrong restraint,p_Concealment of birth,p_Criminal breach of trust,p_Criminal breach of trust-cheating,p_Criminal intimidation,p_Disobedience to pub. Serv. Order,p_Disobedience to pub. Serv. Order-hurting public servant,p_Kidnapping,p_Negligence conduct,p_Negligence conduct-Negligent conduct,p_Negligent conduct,p_Negligent conduct-endangering safety of others,p_Negligent conduct-public nuisance,p_Others,p_Rape,p_Rash driving,p_Robbery,p_Snatching,p_Stalking,p_Theft,p_Theft by clerk,p_cheating,p_corruption,p_culpable homicide,p_domestic abuse,p_endangering safety of others,p_false property acquisuition-hurting public servant,p_grievous hurt,p_house-trespass,p_hurt by dangerous weapons,p_hurt by dangerous weapons-wrong restraint,p_mischief,p_murder,p_obstruction by a person,p_obstruction by a person-public nuisance,p_sexual harrasement,lat,lon,cluster
54,54,LAHORI GATE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,2,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,28.6559113,77.2385051,1
55,55,LAJPAT NAGAR,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.567695500000003,77.24327209999998,2
56,56,LODI COLONY,0,0,0,1,0,0,0,0,4,0,3,0,0,0,2,0,0,0,5,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28.5862742,77.224306,1
57,57,MAHENDRA PARK,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,4,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.726416200000003,77.16361479999998,1
58,58,MANDIR MARG,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,28.638772200000002,77.20339670000001,1
59,59,MANGOL PURI,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,1,0,10,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,28.692536699999998,77.08842369999998,2
60,60,MAURICE NAGAR,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,7,1,10,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.687035899999998,77.20494599999998,1
61,61,MAURYA ENCLAVE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,28.702457799999998,77.1350397,1
62,62,MAYAPURI,0,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,0,0,4,0,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6293651,77.1266912,0
63,63,MEHRAULI,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,28.521208299999998,77.17898309999998,0
64,64,MIANWALI NAGAR,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,28.6781787,77.08666459999998,1
65,65,MODEL TOWN,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3,9,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,37.3722372,-104.2449743,1
66,66,MOTI NAGAR,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,0,0,28.657870399999997,77.1426742,1
67,67,MUKHERJEE NAGAR,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,1,0,1,1,0,0,0,0,0,0,0,0,5,0,1,28.705484000000002,77.2035219,1
68,68,MUNDKA,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.682314399999996,77.034937,0
69,69,NAJAF GARH,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,2,2,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,28.6090126,76.9854526,1
70,70,NAND NAGRI,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,3,28.694422499999998,77.3095173,0
71,71,NANGLOI,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.6841206,77.0632942,1
72,72,NARAINA,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,1,1,3,5,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,28.6321415,77.1388522,1
