,pstation,p_Abetment of suicide,p_Causing hurt-Criminal intimidation-wrong restraint,p_Causing hurt-mischief-wrong restraint,p_Causing hurt-wrong restraint,p_Concealment of birth,p_Criminal breach of trust,p_Criminal breach of trust-cheating,p_Criminal intimidation,p_Disobedience to pub. Serv. Order,p_Disobedience to pub. Serv. Order-hurting public servant,p_Kidnapping,p_Negligence conduct,p_Negligence conduct-Negligent conduct,p_Negligent conduct,p_Negligent conduct-endangering safety of others,p_Negligent conduct-public nuisance,p_Others,p_Rape,p_Rash driving,p_Robbery,p_Snatching,p_Stalking,p_Theft,p_Theft by clerk,p_cheating,p_corruption,p_culpable homicide,p_domestic abuse,p_endangering safety of others,p_false property acquisuition-hurting public servant,p_grievous hurt,p_house-trespass,p_hurt by dangerous weapons,p_hurt by dangerous weapons-wrong restraint,p_mischief,p_murder,p_obstruction by a person,p_obstruction by a person-public nuisance,p_sexual harrasement,lat,lon
49,KHAJURI KHAS,0,1,0,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,4,0,1,28.7100319,77.2603927
50,KHYALA,0,0,0,0,0,0,0,0,14,0,2,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28.6563648,77.0981743
51,KIRTI NAGAR,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,28.6504091,77.14442679999999
52,KN KATJU MARG,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,28.7284878,77.1235737
53,KOTWALI,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,1,1,0,8,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,22.3414146,91.8269573
54,LAHORI GATE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,2,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,28.6559113,77.2385051
55,LAJPAT NAGAR,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.5676955,77.2432721
56,LODI COLONY,0,0,0,1,0,0,0,0,4,0,3,0,0,0,2,0,0,0,5,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28.5862742,77.224306
57,MAHENDRA PARK,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,4,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.7264162,77.16361479999999
58,MANDIR MARG,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,28.6387722,77.2033967
59,MANGOL PURI,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,1,0,10,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,28.6925367,77.08842369999999
60,MAURICE NAGAR,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,7,1,10,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.6870359,77.20494599999999
61,MAURYA ENCLAVE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,28.7024578,77.1350397
62,MAYAPURI,0,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,0,0,4,0,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6293651,77.1266912
